date,pollster,gb,con,lab,lib
22-Nov,SavantaComRes,UK,0.51,0.37,0.04
19-Nov,Redfield & Wilton Strategies,GB,0.38,0.46,0.11
15-Nov,SavantaComRes,UK,0.48,0.44,0.04
11-Nov,Redfield & Wilton Strategies,GB,0.49,0.39,0.04
09-Nov,SavantaComRes,UK,0.43,0.43,0.08
02-Nov,SavantaComRes,UK,0.49,0.42,0.05
28-Oct,Redfield & Wilton Strategies,GB,0.48,0.41,0.05
26-Oct,SavantaComRes,UK,0.48,0.35,0.07
21-Oct,Redfield & Wilton Strategies,GB,0.42,0.46,0.03
18-Oct,SavantaComRes,UK,0.42,0.45,0.06
11-Oct,SavantaComRes,UK,0.42,0.44,0.06
07-Oct,Redfield & Wilton Strategies,GB,0.43,0.43,0.06
04-Oct,SavantaComRes,UK,0.42,0.44,0.09
01-Oct,Redfield & Wilton Strategies,GB,0.45,0.45,0.04
28-Sep,SavantaComRes,UK,0.46,0.42,0.04
23-Sep,Redfield & Wilton Strategies,GB,0.42,0.47,0.03
20-Sep,SavantaComRes,UK,0.42,0.42,0.05
16-Sep,Redfield & Wilton Strategies,GB,0.42,0.43,0.06
02-Sep,Redfield & Wilton Strategies,GB,0.42,0.44,0.08
24-Aug,Redfield & Wilton Strategies,GB,0.38,0.52,0.01
19-Aug,Redfield & Wilton Strategies,GB,0.41,0.46,0.06
16-Aug,SavantaComRes,UK,0.46,0.42,0.05
12-Aug,Redfield & Wilton Strategies,GB,0.31,0.52,0.06
29-Jul,Redfield & Wilton Strategies,GB,0.38,0.46,0.09
22-Jul,Redfield & Wilton Strategies,GB,0.46,0.42,0.06
19-Jul,SavantaComRes,UK,0.47,0.44,0.05
15-Jul,Redfield & Wilton Strategies,GB,0.48,0.38,0.07
08-Jul,Redfield & Wilton Strategies,GB,0.48,0.39,0.08
01-Jul,Redfield & Wilton Strategies,GB,0.33,0.57,0.05
25-Jun,Redfield & Wilton Strategies,GB,0.44,0.42,0.07
18-Jun,Redfield & Wilton Strategies,GB,0.44,0.44,0.04
14-Jun,SavantaComRes,UK,0.57,0.31,0.04
11-Jun,Redfield & Wilton Strategies,GB,0.39,0.48,0.05
03-Jun,Redfield & Wilton Strategies,GB,0.43,0.45,0.04
27-May,Redfield & Wilton Strategies,GB,0.37,0.49,0.04
17-May,SavantaComRes,GB,0.46,0.33,0.07
15-May,Redfield & Wilton Strategies,GB,0.5,0.39,0.05
06-May,Redfield & Wilton Strategies,GB,0.46,0.39,0.04
26-Apr,Redfield & Wilton Strategies,GB,0.52,0.37,0.02
17-Apr,Redfield & Wilton Strategies,GB,0.52,0.38,0.02
02-Apr,Redfield & Wilton Strategies,UK,0.6,0.29,0.01
23-Mar,Redfield & Wilton Strategies,GB,0.53,0.4,0.03
20-Feb,SavantaComRes,GB,0.5,0.3,0.11
12-Feb,Redfield & Wilton Strategies,GB,0.6,0.26,0.06
